client_id,balance,type
1,15000.00,DEBIT
2,25000.00,CREDIT
3,5000.00,DEBIT
4,30000.00,CREDIT
5,10000.00,DEBIT
6,20000.00,CREDIT
7,7500.00,DEBIT
8,40000.00,CREDIT
9,12000.00,DEBIT
10,35000.00,CREDIT
11,8000.00,DEBIT
12,28000.00,CREDIT
13,18000.00,DEBIT
14,45000.00,CREDIT
15,9000.00,DEBIT
16,32000.00,CREDIT
17,22000.00,DEBIT
18,38000.00,CREDIT
19,11000.00,DEBIT
20,42000.00,CREDIT
21,16000.00,DEBIT
22,33000.00,CREDIT
23,7000.00,DEBIT
24,29000.00,CREDIT
25,19000.00,DEBIT
26,41000.00,CREDIT
27,13000.00,DEBIT
28,36000.00,CREDIT
29,8500.00,DEBIT
30,44000.00,CREDIT
31,17000.00,DEBIT
32,31000.00,CREDIT
33,9500.00,DEBIT
34,39000.00,CREDIT
35,21000.00,DEBIT
36,43000.00,CREDIT
37,14000.00,DEBIT
38,34000.00,CREDIT
39,6500.00,DEBIT
40,46000.00,CREDIT 
