error_message,error_date,source
Ошибка подключения к внешнему сервису,2024-03-20 09:00:00,EXTERNAL_SERVICE
Ошибка валидации данных,2024-03-20 09:15:00,VALIDATION
Таймаут соединения с базой данных,2024-03-20 09:30:00,DATABASE
Недостаточно прав для операции,2024-03-20 09:45:00,AUTHORIZATION
Ошибка формата данных,2024-03-20 10:00:00,DATA_FORMAT
Сбой в работе внешнего API,2024-03-20 10:15:00,EXTERNAL_API
Ошибка сериализации данных,2024-03-20 10:30:00,SERIALIZATION
Превышен лимит запросов,2024-03-20 10:45:00,RATE_LIMIT
Ошибка аутентификации,2024-03-20 11:00:00,AUTHENTICATION
Неверный формат ответа,2024-03-20 11:15:00,RESPONSE_FORMAT 
