account_id,amount,transaction_date
1,1000.00,2024-03-20 10:00:00
2,-500.00,2024-03-20 10:15:00
3,2000.00,2024-03-20 10:30:00
4,-1000.00,2024-03-20 10:45:00
5,1500.00,2024-03-20 11:00:00
6,-750.00,2024-03-20 11:15:00
7,3000.00,2024-03-20 11:30:00
8,-2000.00,2024-03-20 11:45:00
9,2500.00,2024-03-20 12:00:00
10,-1250.00,2024-03-20 12:15:00
11,1800.00,2024-03-20 12:30:00
12,-900.00,2024-03-20 12:45:00
13,2200.00,2024-03-20 13:00:00
14,-1100.00,2024-03-20 13:15:00
15,2800.00,2024-03-20 13:30:00
16,-1400.00,2024-03-20 13:45:00
17,3200.00,2024-03-20 14:00:00
18,-1600.00,2024-03-20 14:15:00
19,3500.00,2024-03-20 14:30:00
20,-1750.00,2024-03-20 14:45:00 
